id,outlet,url,published_at,title,lead,rubric,language,country
76a377978a40,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186221-ksir-zayavil-unichtozhenii,2026-03-28 11:18:11,КСИР заявил об уничтожении в Дубае склада украинских противодронных систем,,Политика / Международные новости,ru,RU
12bd8f116df9,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186222-sistemi-pvo-likvidirovali,2026-03-28 11:19:25,Системы ПВО ликвидировали за сутки 385 беспилотников,,Политика / Армия и спецслужбы,ru,RU
163f2127ea40,vedomosti,https://www.vedomosti.ru/investments/news/2026/03/28/1186225-putin-peredal-aktsii,2026-03-28 11:41:23,Путин передал акции издательства «Музыка» фонду «Талант и успех»,,Инвестиции,ru,RU
7058b60f3fe6,vedomosti,https://www.vedomosti.ru/business/news/2026/03/28/1186229-aeroekspresse-sheremetevo,2026-03-28 12:15:18,Поездка на «Аэроэкспрессе» до аэропорта «Шереметьево» сократится на пять минут,,Бизнес / Транспорт,ru,RU
b9c57e0b1bb6,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186230-zaharova-ataki-atomnih-obektov,2026-03-28 12:33:10,Захарова призвала мировое сообщество осудить атаки на атомные объекты в Иране,,Политика / Международные отношения,ru,RU
47003c6e688f,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186231-sirii-baza,2026-03-28 12:38:56,Армия Сирии заявила об атаке БПЛА на базу Эт-Танф со стороны Ирака,,Политика / Международные новости,ru,RU
06a3d0e099b0,vedomosti,https://www.vedomosti.ru/society/news/2026/03/27/1186233-dzheims-tolkan,2026-03-28 12:48:21,Умер актер из фильма «Назад в будущее» Джеймс Толкан,,Общество,ru,RU
64d9618eff47,vedomosti,https://www.vedomosti.ru/society/news/2026/03/28/1186232-air-serbia-belgrada-sankt-peterburga,2026-03-28 12:59:39,Пассажиры Air Serbia два дня не могут добраться до Петербурга,,Общество,ru,RU
f2399fe9a403,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186235-sotrudnikov-busher,2026-03-28 13:10:58,Лихачев: еще две группы сотрудников покинут АЭС «Бушер» в ближайшие дни,,Политика / Международные отношения,ru,RU
9139a04abb26,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/26/1186237-katar-ukraina-oboroni,2026-03-28 13:16:39,Катар и Украина подписали соглашение о сотрудничестве в сфере обороны,,Политика / Международные новости,ru,RU
